source_type,source,title,url,published_date,company,category,symbol,close,return_20d,return_60d,text,sentiment
news,Adaderana Biz,Stock Market,,,,,,,,,Stock Market,0.0
news,Adaderana Biz,Exchange Rates,,,,,,,,,Exchange Rates,0.0
news,Adaderana Biz,Colombo Stock Market Ends Wednesday in Green; ASPI Up 0.69%,,,,,,,,,"Colombo Stock Market Ends Wednesday in Green; ASPI Up 0.69% The Colombo Stock Exchange (CSE) experienced a positive trading session today (06), with both major indices ending in positive territory. The All Share Price Index (ASPI) rose by 155.47 points (0.69%) to close at 22,739.77. Similarly, the S&P Sri Lanka 20 Index edged up by 31.89 points (0.51%), finishing the day at 6,245.13. The gain in… (0) Comments | May 6, 2026 7:17 pm",0.8603441119194031
news,Adaderana Biz,Dollar Selling Rate Crosses Rs. 324,,,,,,,,,"Dollar Selling Rate Crosses Rs. 324 Sri Lanka’s rupee continued to depreciate against the US dollar, with the selling rate climbing above Rs. 324 for the first time in over two years. AToday (06), the buying rate of the US dollar stood at Rs. 316.40, while the selling rate rose to Rs. 324.03. This is the first time the selling rate… (0) Comments | May 6, 2026 1:51 pm",0.0
news,Adaderana Biz,"Binance Introduces “Withdraw Protection,” a New User-Controlled Security Feature for Asset Protection",,,,,,,,,"Binance Introduces “Withdraw Protection,” a New User-Controlled Security Feature for Asset Protection Binance today announced the launch of “Withdraw Protection,” a new user-centric security feature that gives users greater control over the safety of their digital assets. As part of Binance’s ongoing commitment to proactive user protection and education, the new feature adds an extra layer of account security that users can activate at any time. Withdraw… (0) Comments | May 6, 2026 4:37 pm",0.0
news,Adaderana Biz,The Economy: Confidence Takes a Heavy Blow,,,,,,,,,"The Economy: Confidence Takes a Heavy Blow Economic sentiment plummets as uncertainty clouds the broader outlook Confidence in the economy took a sharp hit in April as the corporate community signalled a negative outlook – likely influenced by geopolitical tensions involving the US, Israel and Iran, and the broader instability in the Middle East. And indeed, the ripple effects are being felt…",-0.4787864089012146
news,Adaderana Biz,Global Innovation & Leadership Summit in Colombo Strengthens Sri Lanka–India Ties,,,,,,,,,"Global Innovation & Leadership Summit in Colombo Strengthens Sri Lanka–India Ties The Global Innovation & Leadership Summit, organized by Zee Media and WION International Media Network, was held last week at the Cinnamon Grand Colombo, bringing together distinguished leaders, policymakers, and business visionaries from Sri Lanka and India. The summit celebrated the achievements of selected Indian business leaders, recognizing their contributions to innovation and entrepreneurship while… (0) Comments | May 6, 2026 1:43 pm",0.9286182522773744
news,Adaderana Biz,ACAP unveils strategic business transformation; sets sight on a new frontier of investments into Sri Lanka,,,,,,,,,"ACAP unveils strategic business transformation; sets sight on a new frontier of investments into Sri Lanka ACAP Stockbrokers (Pvt) Ltd. is entering a new phase of its journey under the stewardship of Stallion Consultancy, ushering in a new era of client-focused investment advisory. At a press conference held on Tuesday, the 5th of May, the financial services company unveiled its bold new brand identity, its reorientation towards a more research-focused approach,… (0) Comments | May 6, 2026 1:31 pm",0.8483844995498657
news,Adaderana Biz,HNB partners George Steuart Solution to expand solar energy access in Sri Lanka,,,,,,,,,"HNB partners George Steuart Solution to expand solar energy access in Sri Lanka HNB PLC, has entered into a strategic partnership with George Steuart Solution Pvt Ltd, to expand access to solar energy solutions across Sri Lanka. Formalised through a Memorandum of Understanding, the collaboration focuses on supporting both domestic and Commercial and Industrial segments that obtain financing through HNB. The partnership highlights a shared commitment to promote… (0) Comments | May 6, 2026 3:29 pm",0.8785039186477661
news,Adaderana Biz,AMW and Orient Insurance Partner to Introduce Extended Warranty for Suzuki Vehicles,,,,,,,,,"AMW and Orient Insurance Partner to Introduce Extended Warranty for Suzuki Vehicles Associated Motorways (Private) Limited (AMW) has entered into a strategic partnership with Orient Insurance to enhance aftersales value for customers through the introduction of an extended warranty programme for Suzuki vehicles in Sri Lanka. Formalized through a Memorandum of Understanding, the collaboration enables customers purchasing Suzuki vehicles through AMW to benefit from an upgraded warranty… (0) Comments | May 6, 2026 3:27 pm",0.0
